Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2024.0,Naman Dhir,7.0,1.0,140.0,0.0,23.33,79.0,177.22,0.0,1.0,12.0,10.0,3.0,0.0,7.0,28.0,55.0,0.0,0/13,0.0,11.79,0.0,0.0,0.0
2024.0,Nathan Ellis,16.0,1.0,19.0,12.0,1.27,25.0,76.0,0.0,0.0,0.0,1.0,3.0,0.0,16.0,360.0,516.0,18.0,4/30,28.67,8.6,20.0,1.0,0.0
2024.0,Nehal Wadhera,20.0,1.0,350.0,64.0,18.42,250.0,140.0,0.0,2.0,32.0,18.0,6.0,0.0,20.0,12.0,13.0,0.0,0/13,0.0,6.5,0.0,0.0,0.0
2024.0,Nicholas Pooran,76.0,18.0,1769.0,77.0,30.5,1090.0,162.29,0.0,9.0,113.0,127.0,32.0,4.0,76.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Nitish Kumar Reddy,15.0,2.0,303.0,0.0,23.31,212.0,142.92,0.0,2.0,15.0,21.0,6.0,0.0,15.0,109.0,207.0,3.0,2/17,69.0,11.39,36.33,0.0,0.0
2024.0,Nitish Rana,107.0,9.0,2636.0,87.0,26.9,1952.0,135.04,0.0,18.0,234.0,132.0,24.0,0.0,107.0,180.0,252.0,10.0,2/11,25.2,8.4,18.0,0.0,0.0
2024.0,Noor Ahmad,23.0,3.0,13.0,4.0,0.65,18.0,72.22,0.0,0.0,2.0,0.0,7.0,0.0,23.0,492.0,659.0,24.0,3/37,27.46,8.04,20.5,0.0,0.0
2024.0,Nuwan Thushara,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,156.0,257.0,8.0,3/28,32.12,9.88,19.5,0.0,0.0
2024.0,Pat Cummins,58.0,15.0,515.0,24.0,11.98,344.0,149.71,0.0,3.0,33.0,34.0,15.0,0.0,58.0,1319.0,1923.0,63.0,3/43,30.52,8.75,20.94,1.0,0.0
2024.0,Phil Salt,21.0,2.0,653.0,87.0,34.37,372.0,175.54,0.0,6.0,74.0,34.0,17.0,0.0,21.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Prabhsimran Singh,34.0,0.0,756.0,103.0,22.24,517.0,146.23,1.0,3.0,78.0,41.0,4.0,0.0,32.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2022.0,Prasidh Krishna,51.0,7.0,9.0,0.0,0.2,24.0,37.5,0.0,0.0,0.0,0.0,9.0,0.0,51.0,1145.0,1703.0,49.0,3/22,34.76,8.92,23.37,1.0,0.0
2023.0,Pravin Dubey,4.0,1.0,23.0,16.0,7.67,33.0,69.7,0.0,0.0,2.0,0.0,1.0,0.0,4.0,66.0,91.0,1.0,1/19,91.0,8.27,66.0,0.0,0.0
2024.0,Quinton de Kock,107.0,6.0,3157.0,108.0,31.26,2352.0,134.23,2.0,23.0,316.0,123.0,67.0,15.0,104.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Rachin Ravindra,10.0,0.0,222.0,61.0,22.2,138.0,160.87,0.0,1.0,22.0,12.0,8.0,0.0,10.0,12.0,7.0,0.0,0/3,0.0,3.5,0.0,0.0,0.0
2024.0,Rahmanullah Gurbaz,13.0,0.0,289.0,81.0,22.23,216.0,133.8,0.0,2.0,24.0,19.0,15.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Rahul Chahar,78.0,8.0,129.0,16.0,1.84,124.0,104.03,0.0,0.0,13.0,5.0,23.0,0.0,78.0,1664.0,2141.0,75.0,2/18,28.55,7.72,22.19,1.0,0.0
2024.0,Rahul Tewatia,93.0,25.0,1013.0,53.0,14.9,752.0,134.71,0.0,1.0,84.0,47.0,38.0,0.0,93.0,843.0,1111.0,32.0,3/25,34.72,7.91,26.34,0.0,0.0
2024.0,Rahul Tripathi,95.0,11.0,2236.0,93.0,26.62,1605.0,139.31,0.0,12.0,223.0,84.0,33.0,0.0,95.0,6.0,12.0,0.0,0,0.0,12.0,0.0,0.0,0.0
2022.0,Raj Angad Bawa,2.0,0.0,11.0,11.0,5.5,14.0,78.57,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Rajat Patidar,27.0,1.0,799.0,55.0,30.73,503.0,158.85,1.0,7.0,51.0,54.0,8.0,0.0,27.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2023.0,Rajvardhan Hangargekar,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,60.0,3.0,3/36,20.0,10.0,12.0,0.0,0.0
2024.0,Ramandeep Singh,19.0,7.0,170.0,35.0,14.17,102.0,166.67,0.0,0.0,8.0,13.0,9.0,0.0,20.0,40.0,63.0,6.0,3/20,10.5,9.45,6.67,0.0,0.0
2024.0,Rashid Khan,121.0,23.0,545.0,40.0,5.56,337.0,161.72,0.0,1.0,39.0,38.0,42.0,0.0,121.0,2859.0,3252.0,149.0,4/30,21.83,6.82,19.19,2.0,0.0
2024.0,Rasikh Dar,11.0,1.0,40.0,10.0,4.0,40.0,100.0,0.0,0.0,5.0,0.0,2.0,0.0,11.0,195.0,339.0,9.0,3/34,37.67,10.43,21.67,0.0,0.0
2024.0,Ravi Bishnoi,66.0,7.0,32.0,5.0,0.54,50.0,64.0,0.0,0.0,2.0,0.0,20.0,0.0,66.0,1405.0,1828.0,63.0,3/28,29.02,7.81,22.3,0.0,0.0
2024.0,Ravichandran Ashwin,211.0,34.0,800.0,50.0,4.52,675.0,118.52,0.0,1.0,61.0,28.0,48.0,0.0,212.0,4524.0,5370.0,180.0,3/16,29.83,7.12,25.13,1.0,0.0
2024.0,Ravindra Jadeja,240.0,76.0,2959.0,50.0,18.04,2281.0,129.72,0.0,3.0,215.0,107.0,103.0,0.0,240.0,3829.0,4864.0,160.0,3/20,30.4,7.62,23.93,3.0,1.0
2024.0,Reece Topley,5.0,1.0,3.0,0.0,0.75,6.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,102.0,182.0,5.0,2/27,36.4,10.71,20.4,0.0,0.0
2024.0,Rinku Singh,45.0,11.0,893.0,30.0,26.26,623.0,143.34,0.0,4.0,67.0,46.0,30.0,0.0,45.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Rishabh Pant,111.0,17.0,3284.0,97.0,34.94,2205.0,148.93,1.0,18.0,296.0,154.0,75.0,23.0,111.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Riyan Parag,69.0,10.0,1173.0,50.0,19.88,868.0,135.14,0.0,6.0,84.0,60.0,37.0,0.0,70.0,175.0,307.0,4.0,1/10,76.75,10.53,43.75,0.0,0.0
2024.0,Rohit Sharma,257.0,29.0,6628.0,94.0,29.07,5054.0,131.14,2.0,43.0,599.0,280.0,101.0,0.0,257.0,363.0,453.0,15.0,4/6,30.2,7.49,24.2,1.0,0.0
